,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197806,-0.9,-0.42,-0.93,-0.88,-2.16
197807,4.97,6.01,4.13,6.03,6.47
197808,3.77,3.81,3.92,4.5,4.91
197809,-0.27,-0.85,-0.51,-0.92,-1.16
197810,-13.07,-11.71,-10.07,-10.99,-10.92
197811,3.27,4.12,3.34,3.19,3.54
197812,-0.67,0.94,1.09,1.18,3.65
197901,9.2,5.64,4.63,3.91,4.01
197902,-2.42,-3.36,-2.53,-3.22,-3.09
197903,6.9,6.42,5.04,6.49,6.95
197904,-0.74,-0.24,0.25,1.38,1.46
197905,-0.39,-0.92,-1.14,-2.11,-1.82
197906,5.44,6.09,4.6,4.54,3.62
197907,2.05,1.39,2.03,2.8,0.34
197908,5.08,4.55,7.9,6.8,6.35
197909,-1.85,-0.39,0.23,0.4,0.31
197910,-8.4,-7.38,-6.91,-6.92,-6.7
197911,6.66,5.7,6.73,5.27,6.53
197912,2.78,2.02,2.99,2.68,2.53
198001,7.02,3.72,7.34,6.62,6.22
198002,-1.1,0.7,-1.08,-2.02,0.49
198003,-13.35,-10.23,-11.51,-9.49,-12.27
198004,6.64,6.67,5.46,4.38,3.52
198005,6.57,5.71,6.26,6.45,5.17
198006,4.09,2.73,3.24,2.84,3.97
198007,3.96,5.54,6.55,8.3,8.47
198008,0.66,2.42,2.98,1.76,2.97
198009,1.33,1.5,3.24,4.26,3.33
198010,0.59,0.06,2,2.19,3.88
198011,4.85,5.57,14.62,11.46,12.62
198012,-1.7,-0.91,-3.23,-3.81,-3.76
198101,-0.16,0.08,-5.48,-4.49,-6.48
198102,0.51,1.6,2.39,4.22,0.05
198103,8.76,6.27,4.02,4.64,1.94
198104,-0.2,1.07,-0.81,-2.52,-1.2
198105,2.05,2.8,0.22,0.46,1.06
198106,-1.01,0.39,-0.91,-1.6,-0.79
198107,-1.93,-1.76,-0.63,0.45,1.05
198108,-6.47,-6.58,-4.22,-6.25,-6.14
198109,-5.56,-5.05,-4.78,-5.47,-7.04
198110,2.54,6.54,4.89,7.37,7.24
198111,5.1,5,3.98,4.02,4.05
198112,-2.81,-2.75,-1.83,-3.2,-2.97
198201,-0.84,-1.48,-2.8,-3.14,-1.96
198202,-1.37,-2.39,-5.17,-6.44,-5.61
198203,0.98,0.18,-0.65,-0.83,-1.8
198204,3.91,4.68,2.6,4.44,6.1
198205,-2.89,-4.19,-2.32,-2.55,-2.61
198206,-1.05,-2.32,-2.5,-1.27,-2.36
198207,-2.87,-2.03,-2.56,-2.27,-1.22
198208,12.65,14.75,11.75,11.64,9.65
198209,0.49,1.05,1.42,2.16,3.12
198210,13.6,12.36,10.25,11.15,12.99
198211,7.17,5.52,3.98,4.54,6.21
198212,1.79,1.24,-0.05,0.56,2.78
198301,4.72,4.04,5.72,3.36,3.26
198302,4.67,3.59,3.03,2.68,3.19
198303,4.44,3.32,3.37,2.93,4.03
198304,8.35,6.86,7.44,6.55,7.82
198305,2.84,1.43,0.75,-0.85,1.4
198306,2.52,2.09,2.8,5.84,4.48
198307,-3.92,-1.9,-2.73,-3.82,-3.86
198308,-0.36,0.12,1.82,0.61,-0.36
198309,0.7,2.44,1.34,2,1.81
198310,-4.01,-0.5,-2.74,-2.32,-2.93
198311,5.3,2.22,2.58,3.62,1.56
198312,-2.48,-1.91,-1.11,-0.55,0.02
198401,-1.8,-1.58,0.52,-0.37,-2.55
198402,-5.15,-4.39,-4.3,-2.67,-4.02
198403,3.06,1.46,0.4,0.77,1.57
198404,-3.92,-0.37,1.86,1.04,1.19
198405,-8.08,-4.81,-5.89,-3.44,-4.83
198406,-0.35,2.25,4.62,3.16,2.91
198407,-6.03,-1.89,-2.57,-2.53,-0.09
198408,13.17,11.76,10.83,11.07,11.24
198409,-1.68,-0.27,0.37,0.52,-0.34
198410,-1.88,0.8,-1.19,0.64,0.76
198411,-1.64,-0.39,-0.22,-1.29,-1.78
198412,0.86,2.81,1.99,2.82,2.75
198501,10.97,8.51,7.17,8.15,9.37
198502,1.3,0.41,1.99,2.72,2
198503,-1.14,-0.65,0.86,0.27,-0.87
198504,-1.55,-0.17,0.45,-0.37,-0.64
198505,4.83,5.26,6.26,5.83,6.13
198506,1.15,1.81,2.78,1.6,1.34
198507,1.25,0,-0.73,-0.65,-0.09
198508,-1.03,0.26,-0.87,-0.05,-0.84
198509,-5.72,-4.76,-3.26,-3.1,-3.81
198510,4.3,5.22,4.33,4.27,5.1
198511,7.46,6.33,8.06,5.89,7.86
198512,3.31,4.29,5.26,3.48,5.92
198601,5.01,2.35,-0.94,0.38,0.84
198602,7.02,7.88,7.65,8.01,7.63
198603,5.65,3.92,4.61,6.6,6.1
198604,-4.48,-2.26,-0.34,-0.05,0.33
198605,3.47,4.72,4.92,5.88,5.73
198606,0.42,0.61,2.13,2.38,1.5
198607,-6.98,-5.23,-4.18,-4.74,-7.7
198608,6.88,8.04,6.81,7.02,5.59
198609,-8.38,-7.55,-8.02,-8.93,-7.9
198610,3.58,6.46,5.38,5.74,4.72
198611,-0.07,1.55,2.46,1.72,1.93
198612,-2.9,-3.24,-2.36,-2.67,-2.81
198701,11.72,13.78,12.78,12.35,13.04
198702,8.27,4.03,4.25,3.44,5.19
198703,-0.55,2.06,1.02,2.45,3.36
198704,-2.42,-1.2,-2.55,-1.35,-1.32
198705,-0.29,-0.28,1.53,0.48,0.92
198706,2.66,3.97,3.8,5.53,5.2
198707,6.33,3.75,3.59,4.02,4.88
198708,2.61,3.29,4.22,3.83,4.96
198709,-0.37,-2.05,-1.48,-2.26,-3.17
198710,-28.41,-22.19,-20.89,-20.44,-23.7
198711,-5.28,-6.28,-7.77,-8.11,-8.06
198712,6.15,6.37,7.64,7.23,7.8
198801,3.78,4.77,5.04,5.01,3.82
198802,6.17,3.62,4.89,4.78,6.09
198803,0.54,-1.54,-1.83,-3.15,-1.88
198804,1.6,0.35,2.26,0.89,0.18
198805,-0.43,0.97,0.38,0.74,-0.08
198806,4.64,4.5,4.18,5.8,5.84
198807,-0.21,-0.16,-0.78,-1.19,-0.79
198808,-2.17,-0.88,-3.5,-3.33,-2.43
198809,1.93,4.04,2.52,4.63,5.37
198810,-0.57,1.43,2.83,1.74,2.31
198811,-1.3,-2.08,-1.88,-1.32,-1.77
198812,1.47,2.24,2.1,1.99,2.48
198901,7.33,5.45,6.52,7.3,6.43
198902,-0.87,-0.94,-2.57,-1.7,-1.73
198903,3.05,2.4,0.25,2.99,3.02
198904,5.3,4.25,4.37,6.31,4.96
198905,4.16,4.15,2.87,4.76,4.71
198906,-0.6,-0.18,0.3,-1.2,-0.97
198907,5.94,6.72,6.56,8.37,9.71
198908,2.44,2.12,1.65,2.56,2
198909,-0.88,0.3,-1.11,0.02,0.74
198910,-3.64,-2.42,-1.81,-3.43,-2.88
198911,2.13,2.79,1.85,2.34,0.46
198912,0.35,1.85,2.5,2.81,1.02
199001,-6.64,-7.4,-6.31,-7.3,-7.69
199002,2.37,2.4,1.82,0.99,1.51
199003,1.26,0.65,1.57,3.27,3.56
199004,-4.46,-4.39,-2.36,-3.05,-1.16
199005,7.65,8.44,8.63,9.63,9.65
199006,-0.03,-0.09,-0.61,-1.6,0.51
