,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196812,2.52,-1.36,-1.99,-3.3,-4.26
196901,-0.7,-0.45,-1.61,-0.51,-0.77
196902,-10.24,-8.38,-7.76,-7.35,-3.95
196903,3.16,2.23,2.13,2.08,3.51
196904,0.6,1.31,1.08,1.3,2.43
196905,1.04,-0.59,0.41,0.02,0.39
196906,-13.52,-11.34,-10.77,-8.11,-4.98
196907,-11.45,-9.31,-8.44,-6.98,-5.81
196908,4.76,5.47,7.19,5.94,4.84
196909,-3.38,-0.46,-1.07,-1.81,-2.66
196910,10.22,9.05,7.47,7.42,4.65
196911,-6.95,-4.18,-4.79,-3.75,-2.87
196912,-7.69,-5.87,-3.54,-2.01,-1.24
197001,-3.64,-5.12,-6.85,-7.65,-7.71
197002,3.17,3.62,4.51,5.84,6.01
197003,-3.92,-2.7,-1.21,-0.46,-0.04
197004,-18.1,-17.11,-14.56,-12.23,-8.92
197005,-9.58,-10.58,-9.93,-8.86,-5.23
197006,-8.57,-7.97,-5.96,-4.28,-4.95
197007,4.89,7.3,7.41,8.7,7.31
197008,6.22,7.43,6.62,5.84,4.64
197009,15.45,13.32,9.64,6.86,3.1
197010,-7.96,-5.17,-4.76,-3.73,-0.8
197011,-1.82,2.37,3.71,5.12,5.61
197012,9.21,8.64,8.24,8.36,5.41
197101,15.17,11.19,8.82,7.38,3.78
197102,5.97,2.97,2.45,2.49,1.26
197103,5.87,5.66,6.47,5.02,3.94
197104,2.09,3.3,4.79,3.98,3.46
197105,-5.95,-4.58,-3.78,-3.43,-3.61
197106,-2.21,-0.17,-1.09,0.5,0.53
197107,-6.62,-5.47,-4.89,-4.36,-3.85
197108,4.06,5.2,5.38,5.28,3.95
197109,-0.16,-0.85,-0.28,-0.48,-0.49
197110,-6.56,-4.81,-6.14,-4.07,-3.69
197111,-4.72,-2.33,-1.92,-1.37,0.64
197112,12.66,12.72,11.12,10.37,8.39
197201,13.23,7.63,5.3,3.13,1.78
197202,4.17,3.82,3.55,2.46,3.06
197203,-0.69,0.4,1.08,1.16,0.87
197204,0.19,0.97,0.28,-0.02,0.69
197205,-2.43,-1.53,-0.42,0.64,2.27
197206,-3.77,-2.15,-2.71,-3.5,-1.73
197207,-4.28,-3.86,-2.32,-2.62,0.36
197208,-0.21,0.95,2.64,3.34,3.93
197209,-4.24,-3.14,-2.21,-2.17,-0.19
197210,-2.78,-0.54,-0.4,0.01,1.36
197211,4.61,6.03,5.44,7.43,4.46
197212,-2.28,-1.78,-0.31,-1.02,1.68
197301,-3.82,-6.31,-6.12,-5.57,-1.63
197302,-8.37,-8.03,-7.75,-5.8,-3.33
197303,-2.6,-2.38,-2.97,-2.57,-0.05
197304,-7.32,-7.55,-6.13,-6.46,-4.06
197305,-9.13,-8.49,-6.39,-5.04,-0.99
197306,-3.61,-3.11,-2.58,-3.15,-0.38
197307,12.3,12.56,9.43,9.57,4.05
197308,-5.58,-4.71,-3.38,-2.01,-3.13
197309,8.16,9.68,10.08,10.22,3.87
197310,-0.42,-0.57,-0.04,-0.51,-0.12
197311,-19.19,-17.86,-16.95,-16.14,-10.25
197312,-3.95,-1.37,0.25,2.65,1.36
