"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"150",1938,6,28026,0.297947897727273,0.238753195262343
"151",1938,7,34527,0.118746404791929,0.0733798339356046
"152",1938,8,37057,-0.0617026295828066,-0.0266847567584237
"153",1938,9,35951,-0.0145369847522236,0.00828855142191947
"154",1938,10,36076,0.138962224619289,0.0781099013982475
"155",1938,11,38867,-0.0363894378172589,-0.0178697310685514
"156",1938,12,37977,0.0290965895806861,0.0419098010853196
"157",1939,1,39142,-0.0730526436781609,-0.0596361794246715
"158",1939,2,36785,0.0401579897828863,0.0351606436210762
"159",1939,3,38033,-0.167267094267516,-0.119950336227244
"160",1939,4,33278,0.00159528571428571,-0.00186619226342778
"161",1939,5,33219,0.0824492633587786,0.06805117374427
"162",1939,6,35362,-0.0812799129211305,-0.0530184931733327
"163",1939,7,33340,0.13108684953166,0.10222180606053
"164",1939,8,36610,-0.102573647133758,-0.0668338996252737
"165",1939,9,34009,0.383682607643312,0.168865481320411
"166",1939,10,39613,-0.00676952229299363,-0.00525962985518798
"167",1939,11,39366,-0.077995844783715,-0.0362031289231873
"168",1939,12,37616,0.0165462408111534,0.0302965966919563
"169",1940,1,38540,-0.0193525627376426,-0.0241003971600664
"170",1940,2,37680,0.0292946455696203,0.014438958625813
"171",1940,3,38047,0.0263231125158028,0.0204606166511574
"172",1940,4,38703,0.0134329104665826,0.00216345491983473
"173",1940,5,38727,-0.261142119647355,-0.219640153688102
"174",1940,6,30020,0.0641449710691824,0.0667325052002708
"175",1940,7,31867,0.0359602880503145,0.0317408841751866
"176",1940,8,32824,0.0198837590966123,0.0218636814239482
"177",1940,9,33327,0.0352834993726474,0.023920301906544
"178",1940,10,34001,0.0452675426065163,0.0302328765095005
"179",1940,11,34975,-0.00181585964912281,-0.0160980456292147
"180",1940,12,34097,-0.01826488125,0.00693581713751361
"181",1941,1,34189,-0.00673204755944931,-0.041776244751609
"182",1941,2,32729,-0.0184428077403246,-0.0143821443355531
"183",1941,3,32075,0.0137026957605985,0.00855215851436966
"184",1941,4,32170,-0.0556144351620948,-0.0546343893607399
"185",1941,5,30368,0.00930710473815461,0.0138938405822712
"186",1941,6,30555,0.063334657960199,0.0583380898973888
"187",1941,7,32125,0.125595322139303,0.0589652488122947
"188",1941,8,33985,-0.00811059751552795,-0.00168437730059965
"189",1941,9,33747,-0.01992542039801,-0.00865391616269954
"190",1941,10,33303,-0.0603985360696517,-0.0524778734971203
"191",1941,11,31509,-0.0333167366459627,-0.0191787093092403
"192",1941,12,30498,-0.0797253788819876,-0.0486396073203125
"193",1942,1,28843,0.126238075682382,0.00810142297744675
"194",1942,2,29027,-0.0169249108910891,-0.0244842470210075
"195",1942,3,28125,-0.0471748209876543,-0.0656957910514405
"196",1942,4,26106,-0.0450174215080346,-0.0436538456157694
"197",1942,5,24927,0.0271430370828183,0.0596305312126387
"198",1942,6,26229,0.0244805962962963,0.0271893464461914
"199",1942,7,26736,0.0445956843403206,0.0353707787049341
"200",1942,8,27616,0.0276769839307787,0.0182469150036525
"201",1942,9,27956,0.0463597515451174,0.0263462288666405
"202",1942,10,28522,0.0976237960444994,0.0684644944259121
"203",1942,11,30410,-0.0145265136138614,0.00178044186110431
"204",1942,12,30154,0.0340544412855377,0.0514769174795129
"205",1943,1,31458,0.163496941975309,0.0715790025160788
"206",1943,2,33676,0.128854770086527,0.0617430757992768
"207",1943,3,35608,0.10799560815822,0.0604334924951719
"208",1943,4,37568,0.034522301980198,0.00842869813446571
"209",1943,5,37794,0.0829419714993804,0.0576266102953054
"210",1943,6,39779,0.0101298027127004,0.0184675897699736
"211",1943,7,40337,-0.061899221402214,-0.0473918098456249
"212",1943,8,38809,0.00328508856088561,0.0134707198103599
"213",1943,9,39212,0.0338898884803922,0.0242420407893115
"214",1943,10,39978,-0.00346450427350428,-0.0111796873354264
"215",1943,11,39597,-0.0851927975609756,-0.0587691266428567
"216",1943,12,36815,0.0937969049939099,0.0638754083725929
"217",1944,1,38935,0.0440758580097087,0.0176643095920777
"218",1944,2,39792,0.0125461227217497,0.0039763055968971
"219",1944,3,39769,0.0402810060753341,0.0249147720765979
"220",1944,4,40559,-0.0283243713592233,-0.0165904803096794
"221",1944,5,39800,0.0635266347087379,0.0508525934547373
"222",1944,6,41596,0.101607581113801,0.0552265387024629
"223",1944,7,43714,-0.0125454214975845,-0.014588685822553
"224",1944,8,43069,0.0296616987951807,0.0159595998250762
"225",1944,9,43568,0.000129237909114317,0.000321693168349282
"226",1944,10,43441,-0.00028432211538462,0.00187756125171309
"227",1944,11,43470,0.0226868323353293,0.0174167096901089
"228",1944,12,43775,0.0665066152927121,0.0405762247884465
"229",1945,1,45886,0.0426213791866029,0.0203931372549943
"230",1945,2,46882,0.082944311827957,0.0624919206874855
"231",1945,3,49593,-0.0548080657108722,-0.0387017303242579
"232",1945,4,47434,0.085774665480427,0.0782394196881604
"233",1945,5,51188,0.0289868035502959,0.0175972134867025
"234",1945,6,52020,0.035393695754717,0.00410834224686836
"235",1945,7,52081,-0.033367246171967,-0.0213916022409819
"236",1945,8,50935,0.0643890658823529,0.0623192152929605
"237",1945,9,53903,0.0608095070422535,0.0479404525143575
"238",1945,10,56324,0.0625205495915986,0.0392147509506007
"239",1945,11,58552,0.0932020301974448,0.054123379031322
"240",1945,12,61285,0.023012502229388,0.0122810443813327
"241",1946,1,62862,0.090562116359447,0.0627040095322386
"242",1946,2,67168,-0.0640087672018349,-0.0579658657784615
"243",1946,3,63133,0.0562640902857143,0.0590058153396314
"244",1946,4,66781,0.0505993231292517,0.0425568066308313
"245",1946,5,69674,0.0529008463276836,0.0396303035127694
"246",1946,6,72521,-0.0468532986577181,-0.0386065847320054
"247",1946,7,69565,-0.03940429810901,-0.0265993018429127
"248",1946,8,68013,-0.0730203957871397,-0.0641234264348071
"249",1946,9,63453,-0.131265667774086,-0.10136082053207
"250",1946,10,56887,-0.0113713649393605,-0.0140630447623257
"251",1946,11,56017,-0.00288701975850714,0.000116839299554275
"252",1946,12,55662,0.0457620722891566,0.0499065705128675
"253",1947,1,58447,0.0290154530567686,0.0127731559162386
"254",1947,2,59255,-0.00681731086956522,-0.0105055763151253
"255",1947,3,58293,-0.0298315119565217,-0.0164254556315131
"256",1947,4,57258,-0.0799507328990228,-0.0476908176602872
"257",1947,5,54483,-0.0367044659459459,-0.00946773386201384
"258",1947,6,53647,0.0550863612903226,0.0531697412443137
"259",1947,7,56400,0.0602652261521972,0.0416222627520372
"260",1947,8,58744,-0.0167635348338692,-0.0171437719985038
"261",1947,9,57644,0.00525731163287086,-0.00470872653413846
"262",1947,10,57193,0.0329094102019129,0.025388408257745
"263",1947,11,58534,-0.0286413966065748,-0.0190670219107028
"264",1947,12,57022,0.022507698630137,0.0307710729019829
"265",1948,1,58780,-0.0160912757894737,-0.0385448645953781
"266",1948,2,56528,-0.0575851614255765,-0.043046242707158
"267",1948,3,53802,0.0920957306889353,0.0815924068130593
"268",1948,4,57920,0.0385265537017727,0.0372492165847907
"269",1948,5,60096,0.0849360093652445,0.073893025642094
"270",1948,6,64214,-0.0120201441908714,-3.90151850495982e-05
"271",1948,7,63913,-0.0515767813471503,-0.0498735452903685
"272",1948,8,60656,-0.00222307747933885,0.00332510837867807
"273",1948,9,60495,-0.0416135387797311,-0.0293243394502625
"274",1948,10,58433,0.0518418386763185,0.0600251443784845
"275",1948,11,61786,-0.103856663908997,-0.0926028519525333
"276",1948,12,55456,0.0127066463917526,0.0330175413149283
"277",1949,1,57108,0.0176510215827338,0.00326217306996638
"278",1949,2,57287,-0.0400290951893552,-0.0283677982955199
"279",1949,3,55402,0.0576254128440367,0.0413333817030022
"280",1949,4,57400,-0.0307180448065173,-0.0177266768171758
"281",1949,5,56330,-0.0420710568527919,-0.0285192284485094
"282",1949,6,54425,-0.00782916093117409,0.00190957400952802
"283",1949,7,54166,0.0606069352881699,0.0562704414666452
"284",1949,8,57245,0.024758295959596,0.0269680153926347
"285",1949,9,58401,0.0421323937562941,0.0317782466653821
"286",1949,10,60300,0.038316083501006,0.0323156042877678
"287",1949,11,62115,0.00961913480885312,0.0191100461020628
"288",1949,12,62529,0.0689370538936894,0.052133973919013
"289",1950,1,65942,0.0388428395185557,0.0179762636728593
"290",1950,2,67232,0.0160978316633267,0.0156437181118814
"291",1950,3,67878,-0.00177028657314629,0.0135923960362573
"292",1950,4,68778,0.0461751758241758,0.0402743685057815
"293",1950,5,71446,0.0321657432835821,0.0440934445668294
"294",1950,6,74210,-0.073186497029703,-0.0582926367026967
"295",1950,7,69538,0.0490425355731225,0.0146095375374028
"296",1950,8,70560,0.0497341093596059,0.0495054199485409
"297",1950,9,73399,0.0531306945812808,0.0490586080187295
"298",1950,10,76773,-0.00495023645320197,-0.000618290210963014
"299",1950,11,76714,0.0310247649950836,0.0286196955895253
"300",1950,12,77633,0.0819387231655867,0.0565062920312698
"301",1951,1,82742,0.073643250734574,0.0582512296377573
"302",1951,2,87569,0.0114415636007828,0.0151483858813132
"303",1951,3,88484,-0.0328009315738025,-0.0204516748583447
"304",1951,4,86702,0.0391155253411306,0.0499056970593215
"305",1951,5,91011,-0.0242435267249757,-0.0221899221648677
"306",1951,6,88432,-0.0440459008746356,-0.0250529387246704
"307",1951,7,86281,0.0615252350187806,0.0707939167430437
"308",1951,8,92262,0.0457762451208322,0.0440592175400551
"309",1951,9,95570,0.0223244359223301,0.00821540946346086
"310",1951,10,96016,-0.0234523936126731,-0.0237348269835459
"311",1951,11,93506,0.00716364768339768,0.00674267458399986
"312",1951,12,93511,0.0147280376447876,0.0345231952491431
"313",1952,1,98118,0.0167160231436837,0.0160362059363738
"314",1952,2,99668,-0.0200430751445087,-0.0250971632597606
"315",1952,3,96479,0.0277001270452358,0.0454567666922726
"316",1952,4,100749,-0.043874166506256,-0.0485159928342584
"317",1952,5,95755,0.0241127596153846,0.0332624743195684
"318",1952,6,98306,0.0299668597502402,0.039784117674867
"319",1952,7,101947,0.0100597483189241,0.0105822374491943
"320",1952,8,102946,0.000409645376549092,-0.00617046036830743
"321",1952,9,101538,-0.0145537761904762,-0.0187127009994511
"322",1952,10,99490,-0.0113805539083733,-0.00523445274889455
"323",1952,11,98695,0.0544841178571429,0.0604539368003089
"324",1952,12,103765,0.022222060952381,0.0309218555211199
"325",1953,1,108488,0.0241468121399895,-0.00177511495817625
"326",1953,2,108236,0.0122133339625285,-0.00132015788957589
"327",1953,3,107343,-0.0100165218631179,-0.0124497936352535
"328",1953,4,105594,-0.0228223683395821,-0.026646702448759
"329",1953,5,102766,0.00590525213270142,0.00692900913313879
"330",1953,6,103005,-0.0310826238095238,-0.017065893671009
"331",1953,7,100894,0.0168720301796765,0.0254386260965049
"332",1953,8,103302,-0.0504447111534795,-0.0434859733799721
"333",1953,9,98056,-0.01053525,0.0036716495733106
"334",1953,10,97988,0.0363724028571429,0.0472195606571258
"335",1953,11,102411,0.0209408522402288,0.0290217169865908
"336",1953,12,104571,-0.0146685582061069,0.00154367255392702
"337",1954,1,106086,0.0697599160305344,0.0524151400518552
"338",1954,2,111558,0.013405677480916,0.0173980861289041
"339",1954,3,112697,0.0277528363463368,0.0373234039735756
"340",1954,4,116450,0.0159683870684781,0.0436322982603053
"341",1954,5,121491,0.0419179087452471,0.0314589185045333
"342",1954,6,124573,0.0121879885931559,0.0113269035609922
"343",1954,7,125583,0.0700980360873694,0.0504405098699121
"344",1954,8,131807,-0.00897774218009479,-0.0227949427118203
"345",1954,9,127823,0.0429235631587915,0.0647893041222583
"346",1954,10,135723,-0.00715175545023697,-0.0160212827979673
"347",1954,11,133358,0.0888691988636364,0.0944170080510644
"348",1954,12,144624,0.0853568073654391,0.0556305296719016
"349",1955,1,156482,0.0139470942507069,0.006852758220754
"350",1955,2,157341,0.0415724379704006,0.0310199282261516
"351",1955,3,161641,0.00087658380658113,-0.000564750445880559
"352",1955,4,161017,0.0224049971671388,0.0321255512806455
