"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"148",1938,4,10732,0.02126137451,0.0213573064996366
"149",1938,5,10732,0.0052966174,0.00443573371246739
"150",1938,6,10732,0.00381024117,0.00322675897834514
"151",1938,7,11650,0.00548385093636364,0.00436889636571674
"152",1938,8,11650,0.000869708518181818,0.000453950303733906
"153",1938,9,11650,-1.03078e-05,0.000769394962008584
"154",1938,10,12835,0.009611954075,0.0101997070949981
"155",1938,11,12835,-0.00201451361666667,-0.00252054699696143
"156",1938,12,12835,0.00902084028333333,0.00870783853661083
"157",1939,1,15021,0.00594209904285714,0.00542643507265828
"158",1939,2,15021,0.00766052532142857,0.00833121149830903
"159",1939,3,15021,0.0114229633785714,0.0120019365700885
"160",1939,4,15021,0.00730998081428571,0.00823467626729911
"161",1939,5,15021,0.0161452360785714,0.0172347102852473
"162",1939,6,15021,-0.00337578002142857,-0.00397378422215565
"163",1939,7,15021,0.00983671375,0.0109094643841489
"164",1939,8,15021,-0.0179931645142857,-0.0198358726114773
"165",1939,9,15021,-0.0448756013571429,-0.0456779338097996
"166",1939,10,15021,0.0342980258714286,0.0362747239409094
"167",1939,11,15021,0.0160531982214286,0.0159982391294654
"168",1939,12,15021,0.00979198958571429,0.0109611917955862
"169",1940,1,16710,-0.0002841834,-0.000895290406487133
"170",1940,2,16710,0.00236988985,0.00238618541534411
"171",1940,3,16710,0.01573737686875,0.0165617027941113
"172",1940,4,16710,-0.00019833839375,-0.00114410879899461
"173",1940,5,16710,-0.027567429,-0.0284719085168163
"174",1940,6,16710,0.02360765370625,0.0250064324913285
"175",1940,7,16710,0.0023428268125,0.00240375065205266
"176",1940,8,17390,0.00350306438823529,0.00354097272357102
"177",1940,9,17390,0.00944640406470588,0.00981134720314549
"178",1940,10,17390,0.00694184966470588,0.00498002848857389
"179",1940,11,18114,0.0157993184777778,0.0174956022451805
"180",1940,12,18114,0.00509739943888889,0.0052215187702937
"181",1941,1,18114,-0.0160341125555556,-0.0175173207800044
"182",1941,2,18114,-0.00208689035,-0.00106682730851275
"183",1941,3,18114,0.00675780448333333,0.00779973059507011
"184",1941,4,19229,0.0134022059736842,0.0126872330294919
