"","Year","Month","Stock_lag_MV","Stock_Excess_Vw_Ret","Bond_lag_MV","Bond_Excess_Vw_Ret"
"59",1930,11,45122,-0.0301073833064017,809,0.00311713711681088
"60",1930,12,43781,-0.0782848966211246,809,-0.00781606543510507
"61",1931,1,40641,0.063271896318677,809,-0.0114821523807169
"62",1931,2,43180,0.108759029052755,809,0.0076618730723115
"63",1931,3,47701,-0.0639023181328599,809,0.007980978876267
"64",1931,4,44250,-0.0998836624161427,809,0.00759332218084055
"65",1931,5,39929,-0.132402035223763,809,0.0134216064737948
"66",1931,6,34608,0.139269132310556,809,0.000315269986402967
"67",1931,7,39210,-0.0661861150930317,809,-0.0041061344487021
"68",1931,8,36390,0.00402993572290446,809,0.000928941200247219
"69",1931,9,36280,-0.289477902123896,809,-0.0266110493955501
"70",1931,10,25210,0.0805761105769306,1564,-0.0405347615019182
"71",1931,11,27189,-0.0907552996616472,1564,-0.0020653727463555
"72",1931,12,24563,-0.135737078231361,1564,-0.042394612084399
"73",1932,1,21163,-0.0158075574649995,1564,-0.00786732150735294
"74",1932,2,20880,0.0554150386874604,1564,0.0331525545037084
"75",1932,3,21909,-0.111779667760445,1564,0.000347342972762148
"76",1932,4,19350,-0.179528863927846,1564,0.0448507314482097
"77",1932,5,15835,-0.203790931759885,1564,-0.0227685116393862
"78",1932,6,12434,-0.0070030510234792,1564,0.013523174923977
"79",1932,7,12102,0.338376123375015,1564,0.0343165844429028
"80",1932,8,16216,0.370707676126053,1564,0.00531821188836317
"81",1932,9,22154,-0.0293615469125813,1564,0.00849120985038363
"82",1932,10,21355,-0.131726540950382,1564,-0.00517039918734015
"83",1932,11,18451,-0.058765290872812,1564,0.00687554203925831
"84",1932,12,17271,0.0440317756665866,1564,0.0162498996572251
"85",1933,1,17911,0.0125113225721637,1564,0.0142326849866368
"86",1933,2,18159,-0.152449121427065,1564,-0.033891210923913
"87",1933,3,15150,0.0314561806716661,1564,0.0149462420159847
"88",1933,4,15472,0.388467891865051,1564,-0.00248031692519182
"89",1933,5,21624,0.214295252365542,1564,0.0256899149940537
"90",1933,6,26211,0.130749875767922,1564,0.00725456077097187
"91",1933,7,29564,-0.0963154205299366,1564,-0.00199396507736573
"92",1933,8,26710,0.120347726674292,1564,0.00910429024744245
"93",1933,9,29830,-0.106532916795189,1564,-0.000378472957480818
"94",1933,10,26545,-0.0835916600423777,1564,-0.00401249070242967
"95",1933,11,24311,0.0996755166667926,1564,-0.02331811557289
"96",1933,12,26721,0.018251231391896,1564,-0.00087417556387468
"97",1934,1,27076,0.126067000834465,1564,0.0151788440330563
"98",1934,2,30457,-0.0249895601511852,1564,0.0127305147549872
