KYTREASNOX,MCALDT,TMYTM
2000003,05/31/1994,5.2897253664
2000003,06/30/1994,5.4172992307
2000003,07/29/1994,5.3420981468
2000003,08/31/1994,5.4604363287
2000003,09/30/1994,5.8778475086
2000003,10/31/1994,6.0392860964
2000003,11/30/1994,6.829046006
2000003,12/30/1994,7.1459299244
2000003,01/31/1995,6.729305156
2000003,02/28/1995,6.3315116028
2000003,03/31/1995,6.4146347711
2000003,04/28/1995,6.2378158032
2000003,05/31/1995,5.731648297
2000003,06/30/1995,5.6582934738
2000003,07/31/1995,5.6271736048
2000003,08/31/1995,5.6228938699
2000003,09/29/1995,5.6356635043
2000003,10/31/1995,5.5130889296
2000003,11/30/1995,5.3414364874
2000003,12/29/1995,5.1255648994
2000003,01/31/1996,4.89753946
2000003,02/29/1996,5.150971029
2000003,03/29/1996,5.408490355
2000003,04/30/1996,5.5897181811
2000003,05/31/1996,5.7212285971
2000003,06/28/1996,5.7076737181
2000003,07/31/1996,5.8530925481
2000003,08/30/1996,5.8488547315
2000003,09/30/1996,5.6691147163
2000003,10/31/1996,5.4400161178
2000003,11/29/1996,5.3872698778
2000003,12/31/1996,5.5010148575
2000003,01/31/1997,5.5796754789
2000003,02/28/1997,5.6987280836
2000003,03/31/1997,5.9654512472
2000003,04/30/1997,5.8768841769
2000003,05/30/1997,5.7967464517
2000003,06/30/1997,5.6866690322
2000003,07/31/1997,5.4973670195
2000003,08/29/1997,5.6865404874
2000003,09/30/1997,5.5598074322
2000003,10/31/1997,5.521910452
2000003,11/28/1997,5.6574073689
2000003,12/31/1997,5.5230646362
2000003,01/30/1998,5.3135554991
2000003,02/27/1998,5.4542489055
2000003,03/31/1998,5.4505547905
2000003,04/30/1998,5.455740026
2000003,05/29/1998,5.4676589129
2000003,06/30/1998,5.414280392
2000003,07/31/1998,5.4406434871
2000003,08/31/1998,5.0234438112
2000003,09/30/1998,4.5821167143
2000003,10/30/1998,4.4420145846
2000003,11/30/1998,4.6424408173
2000003,12/31/1998,4.6042645397
2000003,01/29/1999,4.6345602723
2000003,02/26/1999,5.0135916903
2000003,03/31/1999,4.8223013701
2000003,04/30/1999,4.8846572087
2000003,05/28/1999,5.1414329189
2000003,06/30/1999,5.1359519406
2000003,07/30/1999,5.2813259295
2000003,08/31/1999,5.4481320315
2000003,09/30/1999,5.3858900031
2000003,10/29/1999,5.515772701
2000003,11/30/1999,5.7575741645
2000003,12/31/1999,5.9815413318
2000003,01/31/2000,6.2356992746
2000003,02/29/2000,6.2181851925
2000003,03/31/2000,6.2990443762
2000003,04/28/2000,6.4494007478
2000003,05/31/2000,6.6387005732
2000003,06/30/2000,6.397755287
2000003,07/31/2000,6.3660429787
2000003,08/31/2000,6.2863722989
2000003,09/29/2000,6.2042492926
2000003,10/31/2000,6.2027237419
2000003,11/30/2000,6.0167360893
2000003,12/29/2000,5.4313686226
2000003,01/31/2001,4.6624041153
2000003,02/28/2001,4.5321873245
2000003,03/30/2001,4.1615747641
2000003,04/30/2001,4.0349691585
2000003,05/31/2001,3.7800191499
2000003,06/29/2001,3.8781393965
2000003,07/31/2001,3.4574865888
2000003,08/31/2001,3.330980397
2000003,09/28/2001,2.5118875259
2000003,10/31/2001,1.9551168966
2000003,11/30/2001,2.0466490723
2000003,12/31/2001,2.0677932312
2000003,01/31/2002,2.2690215054
2000003,02/28/2002,2.1918210469
2000003,03/28/2002,2.6902217837
2000003,04/30/2002,2.2414070532
2000003,05/31/2002,2.2610160083
2000003,06/28/2002,1.951222409
2000003,07/31/2002,1.7227214499
2000003,08/30/2002,1.7464810135
2000003,09/30/2002,1.4301020336
2000003,10/31/2002,1.3370191877
2000003,11/29/2002,1.4973016612
2000003,12/31/2002,1.2085124593
2000003,01/31/2003,1.2842359979
