,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199208,-0.9,-2.08,-3.7,-2.9,-4.07
199209,1.28,0.92,2.75,0.89,2.06
199210,0.03,1.08,1.87,4.23,4.57
199211,2.28,4,6.49,6.74,9.73
199212,1.86,2.28,0.04,2.68,2.77
199301,0.07,-0.08,3.09,4.21,3.01
199302,2.58,0.78,-1.87,-1.28,-4.49
199303,2.19,2.62,2.87,3.29,2.28
199304,-1.93,-4.23,-2.93,-2.06,-3.08
199305,1.52,1.81,3.87,5.73,7.03
199306,1.78,0.17,0.12,-1.1,0.37
199307,0.86,-0.74,-0.65,-0.7,-0.28
199308,2.64,4.13,5.71,4.32,4.6
199309,-0.69,-0.01,0.36,0.65,2.97
199310,-0.28,1.79,2.95,2.83,3.8
199311,-2.85,-0.52,-0.6,-2.13,-2.75
199312,1.98,1.39,1.25,3.31,2.14
199401,1.91,3.67,3.85,2.86,4.46
199402,-3.08,-2.69,-2.71,0.09,-0.78
199403,-3.75,-4.52,-4.08,-5.81,-6.43
199404,1.93,1.38,-0.12,1.06,-2.24
199405,0.96,2.02,0.79,-0.19,-1.02
199406,-2.42,-2.14,-2.44,-2.5,-5.9
199407,3.34,2.97,3.08,3.46,2.19
199408,3.14,3.82,3.64,7.21,7.73
199409,-2.67,-2.22,-2.21,-1.33,0.39
199410,2.03,0.84,1.87,2.31,2.28
199411,-3.28,-3.13,-4.98,-5.01,-3.42
199412,1.74,1.26,2.08,0.11,0
199501,4.05,2.14,0.36,0.18,0.25
199502,2.98,4.64,5.73,4.62,3.38
199503,1.74,3.22,3.49,3.3,2.63
199504,3.02,1.91,3.38,1.49,2.04
199505,3.91,3.7,3.54,2.89,1.64
199506,1.05,2.05,3.77,6.19,8.69
199507,1.9,3.85,4.72,5.68,8.49
199508,1.83,0.07,1.11,0.84,1.41
199509,6.29,3.68,1.77,1.28,2.52
199510,0.8,-1.47,-2.26,0.33,-4.62
199511,4.81,5.85,5.43,0.57,3.05
199512,3.9,2,1.11,-0.04,-2.6
199601,2.43,3.78,3.04,2.13,0.23
199602,0.11,1.24,2.15,4.24,3.48
199603,1.06,1.34,0.85,1.82,0.57
199604,-0.87,0.79,2.1,4.87,10.29
199605,3.23,1.63,2.85,2.41,4.68
199606,2.08,0.16,-0.93,-1.55,-7.26
199607,-3.7,-4.24,-4.29,-7.91,-12.95
199608,2.9,1.47,3.26,5.27,5.6
199609,4.91,5.66,4.53,5.25,7.23
199610,3.7,2.33,1.53,-0.54,-4.52
199611,6.55,7.63,6.24,7.87,4.81
199612,-1.45,-1.42,-0.68,-1.48,-1.23
199701,4.99,7.26,3.58,6.22,4.67
199702,2.24,2.32,-1.5,-2,-6.18
