,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199101,3.59,6.67,6.74,6.88,6.09
199102,6.05,9.51,8.69,6.9,9.25
199103,3.81,2.85,4.75,2.88,4.12
199104,0.87,-0.33,-0.06,-0.58,1.13
199105,2.81,4.33,4.85,2.67,3.89
199106,-2.31,-5.01,-5.55,-5.65,-5.58
199107,5.01,4.9,4.27,5.14,6.91
199108,2.78,2.38,2.65,4.1,3.91
199109,-2.21,-0.96,-0.23,-0.63,-1.91
199110,0.86,1.66,2.83,2.05,0.41
199111,-1.7,-4.2,-4.06,-2.86,-4.45
199112,12.57,11.83,11.04,11.5,11.84
199201,-0.21,0.54,-1.59,1.73,4.31
199202,0.58,1.58,2.1,1.8,0.89
199203,-1.53,-2.91,-0.82,-2.65,-4.55
199204,0.49,1.21,1.83,0.18,-1.66
199205,-0.36,-0.14,0.58,0.97,1.3
199206,-1.91,-2.7,-1.27,-2.38,-4.98
199207,5.28,4.71,4.08,3.39,3.06
199208,-1.84,-1.67,-1.38,-5.02,-3.26
199209,1.09,1.32,2.03,1.78,1.84
199210,1.58,0.95,1.93,2.87,2.1
199211,2.96,4.3,4.48,6.1,6.95
199212,0.85,1.71,1.92,3.32,2.73
199301,0.31,1.05,1.31,3.71,1.79
199302,1.27,1.89,2.22,-0.29,-0.78
199303,3.26,3.15,1.69,2.96,2.79
199304,-1.42,-2.08,-4.44,-2.88,-4.32
199305,2.13,3.55,2.61,3.08,4.68
199306,-1.34,0.27,1.46,0.83,2.37
199307,0.01,0.62,1.18,-1.15,0.88
199308,3.21,3.87,3.2,5.19,3.35
199309,-1.08,-1.19,0.65,1.77,1.34
199310,1.62,3.38,1.22,-0.47,1.07
199311,-2.34,-0.07,-2.73,-2.17,-2.38
199312,2.23,-0.56,1.34,2.06,3.82
199401,3.69,4.29,4,2.62,3.09
199402,-2.27,-1.63,-3.3,-2.21,-1.89
199403,-3.97,-4.84,-4.34,-4.87,-4.73
199404,1.16,1.14,0.36,0.81,1.97
199405,1.11,1.58,0.44,0.96,0.07
199406,-2.04,-2.47,-2.41,-2.96,-4.01
199407,3.29,2.65,3.1,2.86,2.45
199408,2.31,3.67,3.12,6.17,5.39
199409,-2.18,-2.66,-2.32,-1.99,-2.36
199410,1.97,0.89,1.67,2.87,0.21
199411,-2.4,-5.16,-3.79,-3.5,-5.24
199412,0.03,1.42,2.27,0.57,-0.19
199501,2.82,1.59,1.72,2.4,1.08
199502,3.1,4.88,4.54,3.97,4.24
199503,3.42,2.9,2.06,2.55,2.24
199504,0.76,2.6,2.55,2.91,1.86
199505,3.12,3.03,2.69,4.23,3.53
199506,1.52,2.55,3.54,5.36,4.61
199507,4.51,3.57,5.78,5.46,5.62
199508,0.72,0.52,1.31,2.2,2.16
199509,3.27,2.78,2.1,2.88,4.89
199510,-1.3,-2.81,-1.81,-1.49,-3.15
199511,4.95,5.08,2.72,3.44,3.89
199512,3.12,1.35,0.32,-0.18,0.23
199601,2.97,2.81,3.17,2.51,-0.25
199602,0.63,1.45,2.51,2.7,2.01
199603,1.36,3.14,0.98,0.65,0.83
199604,2.9,2.09,3.13,4.44,4.15
199605,2.4,2.4,0.43,2.91,2.1
199606,-0.1,-0.06,-2.07,-2.57,-4.13
199607,-5.43,-5.42,-6.3,-6.44,-9.1
199608,0.87,2.62,2.47,5.12,5.3
199609,5.53,5.16,4.7,6.16,5.15
199610,2.77,-0.08,-0.24,-0.03,-1.02
199611,6.26,6.27,7.3,7.2,5.65
199612,-1.7,-0.3,0.94,-2.71,-1.76
199701,3.84,4.73,4.76,5.9,4.1
199702,1.21,0.04,-0.12,-1.89,-1.21
199703,-2.46,-3.14,-4.7,-6.32,-6.72
199704,2.59,5.79,6.59,4.13,0.61
199705,5.7,6.38,6.89,10.84,9.05
199706,3.37,5.5,3.1,2.76,3.16
199707,6.65,8.47,7.62,8.55,8.3
199708,-2.63,-2.7,-2.29,-2.69,-2.28
199709,5.28,6.64,4.4,5.62,7.53
199710,-4.34,-2.97,-1.03,-3.97,-2.91
199711,2.47,1.76,3.55,0.94,1.03
199712,-0.53,1.76,1.06,2.49,1.7
199801,1.64,-0.82,3.8,-1.08,0.63
199802,5.5,7.72,8.55,9.4,8.41
199803,4.91,4.31,5.04,6.29,4.86
199804,0.68,0.45,1.75,1.49,3.31
199805,-1.19,-3.36,-2.1,-3.86,-3.98
199806,1.59,1.31,5.79,3.43,3.16
199807,-2.67,-1.45,-1.73,-2.73,-4.06
199808,-12.48,-14.39,-16.44,-18.28,-21.15
199809,9.08,7.71,8.67,8.85,5.16
199810,4.75,6.14,5.98,6.56,7.52
199811,3.71,7.2,6.4,9.01,6.11
199812,6.4,8.86,9.08,12.34,3.81
199901,0.78,7.86,4.89,6.36,4.79
199902,-1.31,-5.96,-4.17,-6.39,-4.23
199903,0.63,6.05,5.87,8.95,1.15
199904,1.65,1.01,4.88,2.49,9.36
199905,-0.73,-0.86,1.2,-2.82,-3.23
199906,2.86,7.17,5.56,5.98,5.92
199907,-2.51,-5.53,-0.42,-4.56,-7.02
199908,-1.1,-2.39,2.37,-2.15,-5.01
199909,0.29,-2.95,-1.19,1.17,-3.17
199910,8.03,6.75,3.41,7.22,11.82
199911,-1.09,1.75,4.05,11.25,1.15
199912,5.45,2.3,14.35,12.21,5.2
200001,-5.79,-1.17,-5.14,-4.96,-2.35
200002,-1.43,0.25,5.17,11.03,5.93
200003,12.11,9.49,9.85,5.93,2.5
200004,0.73,-2.66,-8.83,-10.25,-8.74
200005,-1.04,-1.61,-7.24,-9.68,-2.77
200006,-0.63,2.12,10.07,6.15,2.71
200007,3.87,-0.58,-2.85,-3.53,-4.09
200008,0.93,9.64,8.87,11.07,7.76
200009,2.84,-11.09,-4.4,-8.6,-5.05
200010,2.9,-0.86,-2.99,-4.91,-6.92
200011,-0.86,-8.68,-8.07,-17.85,-16.42
200012,5.51,-1.98,3.95,-3.09,-0.74
200101,-1.44,5.04,2.9,7.13,6.86
200102,-3.24,-4.67,-6.89,-18.91,-15.48
200103,-5.7,-5.83,-5.42,-11.67,-9.21
200104,5.4,10.01,6.1,14.06,10.11
200105,3.33,0.75,1.28,-0.14,-0.12
200106,-2.02,-2.23,-0.81,-1.67,-1.1
200107,4.23,-3.08,-1.15,-5.29,-4.49
200108,-6.06,-3.75,-4.96,-10.29,-9.06
200109,-3.53,-8.18,-11.81,-16,-11.71
200110,1.86,0.7,6.91,9.05,4.57
200111,5.63,8.58,9.32,13.61,8.11
200112,4.33,2.1,0.63,1.23,0.1
200201,0.6,-1.36,-2.79,-0.83,-4.58
200202,1.69,-1.53,-1.35,-7.76,-5.88
200203,4.22,3.63,6.9,6.83,5.91
200204,-3.72,-5.88,-3.71,-8.58,-8.41
200205,-1.86,-2.44,-2.88,-2.45,-2.1
200206,-5.2,-7.73,-7.79,-7.69,-9.51
200207,-7.28,-9.32,-10.96,-11.11,-11.39
200208,1.34,0.34,1.43,1.76,1.35
200209,-7.86,-9.82,-10,-12.51,-9.13
200210,5.58,9.9,10.95,8.78,7.65
200211,3.19,4.38,8.81,9.24,5.31
200212,-4.86,-4.24,-8.12,-7.11,-6.59
200301,-4.89,-2.02,-3.03,-1.49,-3.39
200302,-1.95,-2.71,-0.06,-1.36,-3.31
200303,2.37,1.6,0.9,1.77,0.72
200304,7.82,8.06,6.89,10.86,9.48
200305,3.69,8.15,5.35,9.31,7.54
200306,0.95,0.89,2.41,2.54,-0.05
200307,2.26,1.67,2.25,2.7,2.06
200308,1.3,3.57,5.7,5.04,2.62
200309,0.15,-1.14,-3.89,-2.08,-1.35
200310,5.75,6.19,8.32,9.99,5.9
200311,0.72,1.62,2.63,2.26,1.38
200312,5.35,4.02,3.61,2.45,4.64
200401,0.23,3.19,2.48,3.18,3.84
200402,1.64,1.56,1.02,1.32,1.97
200403,-0.71,-1.86,-0.03,0.1,-0.72
