KYTREASNOX,CALDT,TDYTM
2000005,01/25/1974,6.8894924974
2000005,01/28/1974,6.8369309912
2000005,01/29/1974,6.8219683317
2000005,01/30/1974,6.7916450992
2000005,01/31/1974,6.7673673661
2000005,02/01/1974,6.7136130939
2000005,02/04/1974,6.660554063
2000005,02/05/1974,6.6608494877
2000005,02/06/1974,6.6341754637
2000005,02/07/1974,6.6749484685
2000005,02/08/1974,6.6482400854
2000005,02/11/1974,6.6491235738
2000005,02/13/1974,6.6091826997
2000005,02/14/1974,6.582476156
2000005,02/15/1974,6.5962412023
2000005,02/19/1974,6.6101484217
2000005,02/20/1974,6.6170204675
2000005,02/21/1974,6.6374572655
2000005,02/22/1974,6.6579327718
2000005,02/25/1974,6.6651079431
2000005,02/26/1974,6.7607251911
2000005,02/27/1974,6.7814258191
2000005,02/28/1974,6.8021658322
2000005,03/01/1974,6.8573135129
2000005,03/04/1974,6.8855217875
2000005,03/05/1974,6.8857469539
2000005,03/06/1974,6.8583782805
2000005,03/07/1974,6.858594019
2000005,03/08/1974,6.9002515382
2000005,03/11/1974,6.9286687476
2000005,03/12/1974,6.9358542896
2000005,03/13/1974,6.9986736201
2000005,03/14/1974,6.9850264052
2000005,03/15/1974,7.0550632876
2000005,03/18/1974,7.1541890714
2000005,03/19/1974,7.168613469
2000005,03/20/1974,7.2536726167
2000005,03/21/1974,7.3605053409
2000005,03/22/1974,7.4108338055
2000005,03/25/1974,7.4265098998
2000005,03/26/1974,7.3983852997
2000005,03/27/1974,7.3845562991
2000005,03/28/1974,7.4422435257
2000005,03/29/1974,7.3926122023
2000005,04/01/1974,7.4226466483
2000005,04/02/1974,7.4590128247
2000005,04/03/1974,7.4882761205
2000005,04/04/1974,7.5898576984
2000005,04/05/1974,7.706608167
2000005,04/08/1974,7.6646956931
2000005,04/09/1974,7.6652797616
2000005,04/10/1974,7.6149479727
2000005,04/11/1974,7.593722593
2000005,04/15/1974,7.5523783411
2000005,04/16/1974,7.6548106614
2000005,04/17/1974,7.6408065926
2000005,04/18/1974,7.7144974718
2000005,04/19/1974,7.6712001515
2000005,04/22/1974,7.6876508317
2000005,04/23/1974,7.7029246515
2000005,04/24/1974,7.688873745
2000005,04/25/1974,7.7629736874
2000005,04/26/1974,7.8078611174
2000005,04/29/1974,7.9136112507
2000005,04/30/1974,7.944080514
2000005,05/01/1974,7.9150452292
2000005,05/02/1974,7.9604492194
2000005,05/03/1974,8.1109261412
2000005,05/06/1974,8.1887372209
2000005,05/07/1974,8.29564636
2000005,05/08/1974,8.2358346061
2000005,05/09/1974,8.2367018739
2000005,05/10/1974,8.0263594116
2000005,05/13/1974,7.8789900998
2000005,05/14/1974,7.9095767142
2000005,05/15/1974,7.8655081666
2000005,05/16/1974,7.8662248176
2000005,05/17/1974,7.9417353213
2000005,05/20/1974,7.9439980513
2000005,05/21/1974,7.8399411594
2000005,05/22/1974,7.8107940727
2000005,05/23/1974,7.7295702614
2000005,05/24/1974,7.6634242437
2000005,05/28/1974,7.7702042
2000005,05/29/1974,7.7559695153
2000005,05/30/1974,7.711922438
2000005,05/31/1974,7.7274983379
2000005,06/03/1974,7.8043331998
2000005,06/04/1974,7.745160584
2000005,06/05/1974,7.7608127219
2000005,06/06/1974,7.7166379369
2000005,06/07/1974,7.6874440412
2000005,06/10/1974,7.6894536995
2000005,06/11/1974,7.7050849142
2000005,06/12/1974,7.7807553168
2000005,06/13/1974,7.8115581421
2000005,06/14/1974,7.7972343726
2000005,06/17/1974,7.7542584591
2000005,06/18/1974,7.815233232
2000005,06/19/1974,7.8159733058
2000005,06/20/1974,7.8167150715
2000005,06/21/1974,7.8476976852
2000005,06/24/1974,8.0020526668
2000005,06/25/1974,8.0334494019
2000005,06/26/1974,8.0190033194
2000005,06/27/1974,8.1118266652
2000005,06/28/1974,8.0819940606
2000005,07/01/1974,8.115386005
2000005,07/02/1974,8.085505143
2000005,07/03/1974,8.1634476528
2000005,07/05/1974,8.2427078659
2000005,07/08/1974,8.3546158742
2000005,07/09/1974,8.3712599175
2000005,07/10/1974,8.3566477765
2000005,07/11/1974,8.3420351838
2000005,07/12/1974,8.2650310518
2000005,07/15/1974,8.2523879323
2000005,07/16/1974,8.2533671575
2000005,07/17/1974,8.2076052489
2000005,07/18/1974,8.208566969
2000005,07/19/1974,8.1473118233
2000005,07/22/1974,8.0415398316
2000005,07/23/1974,7.972890243
2000005,07/24/1974,7.8583077734
2000005,07/25/1974,7.8591178243
2000005,07/26/1974,8.045121212
2000005,07/29/1974,8.0944484352
2000005,07/30/1974,8.2516064108
2000005,07/31/1974,8.2055959445
2000005,08/01/1974,8.2850304746
2000005,08/02/1974,8.380627703
2000005,08/05/1974,8.3206535557
2000005,08/06/1974,8.2429450265
2000005,08/07/1974,8.3227465873
2000005,08/08/1974,8.3080070464
2000005,08/09/1974,8.3564774587
2000005,08/12/1974,8.3121979957
2000005,08/13/1974,8.3290779129
2000005,08/14/1974,8.2984841457
2000005,08/15/1974,8.2521155175
