,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199612,-0.33,-0.62,-2.36,-0.67,-1.81
199701,3.39,4.78,5.32,6.56,8.9
199702,-0.2,1.06,1.8,0.81,-3.6
199703,-1.42,-4.52,-3.62,-5.56,-7.32
199704,2.93,5.2,5.63,5.94,4.55
199705,6.19,6.13,6.31,7.14,9.03
199706,4.03,4.23,5.59,3.8,3.27
199707,8.08,6.15,7.78,7.91,10.36
199708,-1.88,-5.3,-4.78,-3.98,-2.42
199709,4.94,4.88,5.66,6,7.32
199710,-3.11,-2.38,-3.42,-2.84,-5.35
199711,2.2,4.93,5.34,3.72,1.1
199712,1.44,2.28,2.04,2.1,0.64
199801,-1.28,0.71,0.4,2.64,-0.68
199802,6.63,7.17,6.6,7.19,9.19
199803,6.41,4.96,5.62,4.61,3.37
199804,1.42,0.93,0.09,0.74,3.22
199805,-0.75,-1.78,-1.82,-2.23,-4.55
199806,3.1,4.56,2.89,2.88,4.44
199807,-3.49,-1.9,-2.31,-0.99,-1.41
199808,-11.67,-11.03,-14.44,-18.7,-22.8
199809,4.67,7.04,6.18,7.91,6.06
199810,6.19,6.6,7.83,8.16,10.64
199811,3.84,6.82,5.72,6.43,8.61
199812,3.75,4.61,5.69,6.02,13.68
199901,-2.99,3.52,0.94,4.1,12.29
199902,-1.11,-4,-2.37,-3.49,-7.41
199903,1.19,3.11,2.31,3.03,7.94
199904,4.66,5.59,3,3.24,4.31
199905,-1.52,-1.15,-0.77,-2.98,-1.6
199906,1.95,4.31,5,5.87,9.05
199907,-2.1,-2.07,-2.08,-4.48,-4.35
199908,0.08,-0.31,-1.02,-2.16,-1.33
199909,-4.65,-1.16,-3.82,-2.83,-1.39
199910,4.75,5.56,5.31,6.63,8.53
199911,-0.04,-0.97,2.63,6.76,7.64
199912,-4.66,6.46,5.13,13.7,11.7
200001,-0.76,-6.54,-2.73,-5.44,-5.22
200002,-8.38,-6.39,-2.78,6.67,15.87
200003,8.63,10.2,12.27,10.01,1.16
200004,3.58,-5.14,-2.17,-4.69,-5.97
200005,5.85,0.04,-2.42,-6.02,-7.92
200006,0.24,2.42,1.98,2.2,8.05
200007,-3.86,-1.43,-0.69,1.1,-2.88
200008,4.66,5.44,6.67,8.25,9.81
200009,5.42,5.37,-7.57,-4.49,-12.61
200010,4.03,2.25,0.89,-1.88,-7.98
