,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197905,-1.37,-1.78,-1.74,-1.38,-0.64
197906,5.28,3.52,4.08,5.23,6.08
197907,3.3,0.61,2.14,1.65,1.88
197908,7.06,4.52,6.65,6.54,8.89
197909,0.56,0.19,0.17,-0.99,-0.06
197910,-8.34,-5.41,-8.02,-7.57,-8.06
197911,7.63,5.12,5.26,6.13,9.45
197912,5.77,0.57,2.99,2.15,5.38
198001,8.05,6.76,6.32,3.6,7.54
198002,0.44,2.63,-1.47,-3.57,-1.96
198003,-15.83,-11.43,-10.6,-8.11,-14.04
198004,5.84,4.9,4.35,5.74,4.86
198005,7.05,5.06,6.22,5.72,7.2
198006,2.37,3.15,3,3.62,4.77
198007,8.98,4.58,5.82,6.94,10.81
198008,2.78,2.7,1.1,2.21,3.42
198009,1.24,2.36,2.46,2.49,6.63
198010,-0.01,1.91,1.27,3.56,2.27
198011,4.6,9.11,10.55,11.81,14.89
198012,-0.82,-3.6,-2.1,-3.61,-3.88
198101,-0.96,-1.07,-3.77,-5.37,-7.88
198102,3.2,3.48,2.62,0.71,0.09
198103,9.06,3.15,3.89,3.15,6.1
198104,-0.29,1.05,-2.22,-2.26,-0.45
198105,1.71,0.94,0.44,0.12,3.32
198106,-1.88,-0.14,0.3,0.31,-4.18
198107,-2.79,-1.94,-1.2,1.29,1.68
198108,-6.91,-4.74,-4.31,-6.1,-7.76
198109,-5.48,-4.46,-3.48,-5.81,-9.23
198110,5.55,2.6,5.37,6.07,10.64
198111,4.44,4.4,4.58,4.69,3.53
198112,-1.38,-0.76,-2.29,-3.72,-4.32
198201,-2.57,-0.06,-1.53,-2,-5.51
198202,-3.12,-2.74,-3.15,-5.37,-8.69
198203,-0.29,0.39,0.76,-0.99,-3.45
198204,6.43,5.03,2.67,4.24,6.02
198205,-3.9,-1.87,-3.05,-2.61,-3.13
198206,-0.94,-1.04,-0.47,-2.09,-4.65
198207,-1.86,-1.63,-0.62,-2.39,-4.54
198208,12.61,11.5,11.37,11.94,12.56
198209,1.31,2.88,1.72,1.53,1.66
198210,15.26,11.61,9.3,10.98,15.6
198211,7.91,4.46,4.33,4.23,7.27
198212,1.47,1.6,1.51,2.21,-0.68
198301,5.9,2.45,4.46,3.15,5.11
198302,3.27,3.71,2.89,3.34,3.38
198303,5.16,5.62,2.88,2.88,3.21
198304,8.86,6.89,7.91,6.86,6.81
198305,2.3,-0.84,-0.72,0.29,4.28
198306,3.89,1.62,2.64,5.5,4.89
198307,-1.29,-1.69,-2.93,-3.4,-5.23
198308,-0.78,2.51,1.38,0.31,-1.85
198309,2.38,1.08,1.72,2.81,0.97
198310,-2.68,-0.88,-1.19,-1.92,-5.57
198311,4.5,3.46,3.31,0.56,3.38
198312,0.26,-0.99,-0.65,-0.91,-1.47
198401,-1.54,-0.11,1.97,-2.39,-3.69
198402,-6.67,-2.36,-3.13,-3.53,-6.22
198403,2.98,1.85,0,1.79,0.88
198404,-2.13,2.06,1.24,0.07,-0.12
198405,-6.42,-5.86,-4.61,-4.44,-5
198406,1.93,1.79,4.56,2.49,3.02
198407,-5.83,-3.03,-1.19,0.56,-3.16
198408,13.11,11.05,10.23,10.62,13.05
198409,-0.37,0.55,1.04,0.43,-2.65
198410,-0.88,-0.98,1.33,1.56,-0.99
198411,-1.27,0.21,-0.61,-1.02,-3.32
198412,-0.16,2.59,2.54,3.23,2.57
198501,8.91,6.13,7.46,8.66,12.8
198502,3.11,2.14,2.17,1.11,1.26
198503,0.7,1.63,-0.02,-0.67,-2.49
198504,-1.63,0.38,0.54,-0.81,-1.26
198505,3.99,4.96,5.98,6.69,6.48
198506,1.3,1.2,1.89,1.55,2.47
198507,-0.54,-0.47,-0.08,0.2,0.09
198508,-0.01,0.7,-0.26,-0.98,-1.87
198509,-2.5,-2.35,-3.72,-4.28,-5.74
198510,2.6,4.68,5.59,5.05,4.33
198511,7.02,5.1,7.89,7.43,7.48
198512,4,3.34,4.79,5.73,3.96
198601,-1.61,0.35,1.66,1.34,2.22
198602,7.97,6.36,8.89,6.97,8.71
198603,5.63,5.38,5.9,5.64,4.64
198604,0.66,-0.77,-2.34,-0.61,-0.59
198605,6.17,5.89,5.33,3.76,5.36
198606,1.64,1.63,2.69,1.68,-1.17
198607,-10.1,-4.29,-4.11,-5.01,-8.32
198608,9.85,8.14,7.62,5.2,5.05
198609,-3.63,-6.37,-9.19,-9.92,-8.22
198610,4.53,6.04,5.19,6.51,3.7
198611,0.73,2.19,2.7,1.21,1.09
198612,-2.34,-3.11,-2.14,-2.15,-3.78
198701,13.49,11.24,13.23,13.32,12.78
198702,5.5,1.37,3.23,6.06,7.22
198703,5.86,4.33,1.35,0.75,1.25
198704,-0.29,-1.02,-2.2,-2.1,-1.33
198705,2.24,1.25,0.72,0.21,0.06
198706,4.36,4.94,5.64,4.73,3.51
198707,6.11,5.01,2.6,4.85,4.25
198708,1.6,5.13,3.78,4.35,4.49
198709,-1.6,0.24,-2.68,-2.83,-3.2
198710,-23.24,-19.54,-19.91,-23.53,-25.95
198711,-8.27,-6.23,-7.6,-7.43,-8.44
198712,7.44,4.55,6.94,8.7,8.66
198801,6.6,4.88,4.06,4.84,3.48
198802,5.12,5.7,3.96,5.04,5.88
198803,0.82,-1.71,-2.96,-2.59,-2.32
198804,2,1.48,1.12,0.84,-0.23
198805,-0.02,0.59,1.06,0.17,-0.11
198806,1.25,4.05,6.49,5.31,6.92
198807,-0.55,0.12,-0.23,-1.01,-2.43
198808,-1.81,-2.22,-2.29,-3.23,-3.91
198809,2.41,4.19,3.29,5.07,3.89
198810,1.13,3.13,1.85,2.63,-0.33
198811,-1.97,-0.74,-1.67,-1.7,-3.07
198812,2.27,1.65,2.14,1.47,3.69
198901,6.95,6.37,6.29,7.1,6.75
198902,0.15,-1.11,-2.09,-2.3,-2.08
198903,2.65,3.64,1.37,1.78,2.13
198904,4.39,5.65,4.1,5.43,5.44
198905,4.57,4.52,3.43,4.38,4.35
198906,-0.32,0.18,0.44,-1.2,-2.33
198907,8.6,7.32,8.51,7.48,8.24
198908,2.51,1.2,1.7,2.2,3.07
198909,1.36,-0.03,0.38,-0.92,-0.51
198910,-3.31,-2.16,-2.82,-3.47,-2.88
198911,2.4,2.53,2.22,0.65,1.31
198912,3.9,2.99,1.4,2.45,-0.21
199001,-7.68,-6.33,-8.2,-6.9,-7.06
199002,2.27,1.23,0.83,1.64,2.25
199003,2.9,1.68,2.51,2.13,3.19
199004,-3.66,-3.94,-1.9,-2.75,-1.65
199005,7.64,8.3,10.23,8.73,9.95
199006,-2.7,-0.66,0.57,-1.54,0.68
199007,-0.07,0.51,-1.37,-0.08,-4.03
199008,-8.97,-6.97,-9.71,-10.01,-10.85
199009,-6.43,-1.8,-4.02,-6.69,-8.51
199010,-5.17,-0.53,0.44,-0.36,-3.02
199011,6.31,4.76,5.37,7.44,10.63
199012,2.82,1.92,2.3,3.58,4.54
199101,3.59,1.71,5.77,4.34,9.43
199102,9.22,6.71,7.02,7.34,8.75
199103,3.02,2.12,1.65,4.07,4.37
199104,0.33,0.76,-0.22,0.93,-0.49
199105,2.56,1.62,3.79,5.52,5.13
199106,-5.91,-2.83,-4.59,-4.39,-5.4
199107,3.58,4.44,3.94,4.39,6.16
199108,2.04,3.06,1.37,2.53,4.39
199109,-2.24,0.28,-0.2,-1.76,-1.93
199110,1.11,2.65,1.13,1.51,1.75
199111,-4.96,-2.84,-5.51,-3.85,-2.02
199112,8.74,9.27,8.5,11.08,15.08
199201,8.44,-0.8,-1.91,-0.64,-0.7
199202,5.13,1,1.74,0.76,1.01
199203,-2.05,-1.85,-1.34,-1.21,-4.18
199204,-0.2,3.57,4.72,1.71,-1.47
199205,1.21,0.68,0.81,0.34,0.74
199206,-1.68,-1.59,-0.61,-2.3,-3.11
199207,3.51,3.56,4.25,4.34,4.17
199208,-4.27,-1.94,-2.24,-1.15,-2.66
199209,2.63,0.49,0.81,1.42,2.23
199210,1.67,0.44,-1.6,2.13,3.36
199211,4.46,2.85,3.11,3.86,6.53
199212,3.37,2.15,0.85,1.93,1.75
199301,4.69,2.78,0.78,-1.14,1.14
199302,1.62,3.3,1.87,-0.02,-2.45
199303,2.46,3.83,1.3,3.26,1.77
199304,-1.18,-1.18,-2.63,-2.49,-4.88
199305,3.06,2.26,2.04,2.4,5.34
199306,1.4,0.71,0.98,1.13,-0.98
199307,1.46,0.68,1.15,-1.28,-1.75
199308,4.73,3.82,3.5,3.77,3.88
199309,0.6,0.79,-1.09,-0.57,0.81
199310,3.47,0.8,2.04,1.16,1.97
199311,-1.79,-2.63,-1.53,-1.19,-0.49
199312,1.65,1.27,1.93,2.91,1.23
199401,4.29,3.44,2.96,2.4,3.01
199402,-2.68,-3.26,-3.51,-1.79,-0.82
199403,-4.43,-3.9,-4.33,-4.01,-5.4
199404,1.31,1.95,1.3,0.53,0.43
199405,1.96,0.84,-0.13,1.96,0.62
199406,-2.84,-1.36,-1.93,-3.29,-3.71
199407,3.04,3.73,2.67,2.73,3.31
199408,5.97,3.35,3.02,4.21,6.05
199409,-0.1,-2.39,-1.79,-2.46,-2.31
199410,0.95,2.09,1.35,1.58,2.54
199411,-4.4,-3.85,-3.44,-3.02,-3.42
199412,1.75,0.89,1.69,1.43,1.22
199501,0.69,2.64,1.99,3.02,2.23
199502,4.58,3.86,4.25,3.03,4.61
199503,3.89,2.94,1.77,2.11,2.87
199504,3.7,2.99,2.24,2.44,2.13
199505,2.47,3.75,3.04,4.1,3.75
199506,2.96,0.76,2.69,2.67,5.73
199507,3.4,2.43,4.2,4.29,5.87
199508,1.7,0.68,0.8,1.36,0.7
199509,3.72,4.42,3.98,3.2,3.91
199510,-2.14,-0.19,0.1,-2.14,-1.34
199511,5.12,4.48,5.7,4.85,2.16
199512,4.34,1.9,2.61,1.44,-1.39
199601,3.51,3.13,3,2.96,1.49
199602,0.66,1.56,0.82,2.76,2.65
199603,1.06,1.12,0.88,1.48,0.96
199604,3.07,0.77,0.6,1.7,5.23
199605,2.46,1.58,2.35,3.35,3.7
199606,0.19,0.83,0.49,-1.27,-2.22
199607,-4.84,-4.34,-4.63,-5.15,-7.42
199608,2.38,1.1,3.25,3.71,4.42
199609,4.06,3.61,4.18,5.98,7.63
199610,2.21,3.34,2.38,1.54,-0.67
199611,6.58,5.94,7.06,6.38,8
199612,-0.97,0.61,-0.71,-3.01,-1.62
199701,5.68,4.66,5.13,5.26,6.6
199702,0.29,0.65,2.56,1.28,-3.46
199703,-4.76,-2.05,-5.26,-4.17,-5.81
199704,4.2,2.17,5.33,6.62,5.02
199705,5.92,6.18,6.5,6.07,9.44
199706,4.42,4.29,4.96,4.89,2.9
199707,6.29,6.61,5.6,8.47,11.21
199708,-2.85,-4.01,-4.92,-4.65,-2.21
199709,5.94,5.77,5.22,6.47,5.66
199710,-2.8,-3.58,-2.21,-3.05,-4.85
199711,4.03,4.05,4.01,4.89,1.19
199712,2.87,3.08,2.86,1.31,-0.76
199801,1.08,-1.18,-0.01,1.57,2.58
199802,4.83,6.16,7.3,7.88,9.75
199803,5.7,3.94,5.53,6.7,4.17
199804,-1.42,1.11,0.19,2.42,2.62
199805,-0.84,-1.4,-1.41,-2.73,-4.68
199806,0.83,1.74,3.97,4.3,6.32
199807,-3.04,-0.86,-1.87,-3.41,-1.93
199808,-14.09,-12.84,-14.91,-16.65,-19.24
199809,7.97,3.81,5.59,7.36,9.54
199810,5.96,9.15,8.2,8.13,4.81
199811,6.91,5.54,4.98,8.72,7.53
199812,5.42,5.47,5.24,7.67,8.83
199901,1.22,1.06,0.16,4.64,11.48
199902,-1.75,-3.23,0.14,-5.04,-8.6
199903,5.94,2.59,2.77,2.94,5.14
199904,6.17,4.01,4.11,4.79,3.37
199905,-2.57,0.16,-2.45,-0.93,-3.08
199906,2.22,2.83,5.1,6.7,9
199907,-0.62,-3.05,-1.92,-2.72,-5.78
199908,-2.02,-2.51,0.85,-0.96,-0.81
199909,-2.91,-3.3,-4.57,0.09,-2.14
199910,2.8,4.18,4.93,9.42,8.64
