KYTREASNOX,CALDT,TDYTM
2000003,06/13/1974,8.4436811465
2000003,06/14/1974,8.4509112033
2000003,06/17/1974,8.3308291809
2000003,06/18/1974,8.3734375389
2000003,06/19/1974,8.3091995057
2000003,06/20/1974,8.3161963391
2000003,06/21/1974,8.2873493303
2000003,06/24/1974,8.4533499991
2000003,06/25/1974,8.5336451552
2000003,06/26/1974,8.5049859863
2000003,06/27/1974,8.5859509318
2000003,06/28/1974,8.5572765327
2000003,07/01/1974,8.6554987107
2000003,07/02/1974,8.6266988045
2000003,07/03/1974,8.7096003095
2000003,07/05/1974,8.7644032982
2000003,07/08/1974,8.866911418
2000003,07/09/1974,8.876168739
2000003,07/10/1974,8.8092008085
2000003,07/11/1974,8.6654369153
2000003,07/12/1974,8.2533468589
2000003,07/15/1974,8.2758881106
2000003,07/16/1974,8.3221926264
2000003,07/17/1974,8.2911855746
2000003,07/18/1974,8.298916936
2000003,07/19/1974,8.3067041301
2000003,07/22/1974,8.2121614281
2000003,07/23/1974,8.1802713694
2000003,07/24/1974,8.1878264095
2000003,07/25/1974,8.2352169609
2000003,07/26/1974,8.4827519313
2000003,07/29/1974,8.6301513669
2000003,07/30/1974,8.8424208289
2000003,07/31/1974,8.6641441981
2000003,08/01/1974,8.8291117446
2000003,08/02/1974,8.868680885
2000003,08/05/1974,8.7975816465
2000003,08/06/1974,8.6780102238
2000003,08/07/1974,8.7816144345
2000003,08/08/1974,8.7896124238
2000003,08/09/1974,8.8619871542
2000003,08/12/1974,8.886932041
2000003,08/13/1974,8.8953472529
2000003,08/14/1974,8.8712102987
2000003,08/15/1974,8.7489807939
2000003,08/16/1974,8.7566457104
2000003,08/19/1974,8.8459148342
2000003,08/20/1974,9.0527204952
2000003,08/21/1974,9.2943423985
2000003,08/22/1974,9.6718471289
2000003,08/23/1974,9.7494372675
2000003,08/26/1974,9.7134904392
2000003,08/27/1974,9.5542486812
2000003,08/28/1974,9.5303975751
2000003,08/29/1974,9.4382616921
2000003,08/30/1974,9.379868272
2000003,09/03/1974,9.4194057948
2000003,09/04/1974,9.4294429453
2000003,09/05/1974,9.1968020544
2000003,09/06/1974,8.9634176569
2000003,09/09/1974,8.6760788014
2000003,09/10/1974,8.7891102205
2000003,09/11/1974,8.6924104473
2000003,09/12/1974,8.9469555852
2000003,09/13/1974,8.7794675114
2000003,09/16/1974,8.6098016507
2000003,09/17/1974,8.4578031661
2000003,09/18/1974,8.4655431787
2000003,09/19/1974,8.4018151676
2000003,09/20/1974,8.3377657196
2000003,09/23/1974,8.2519424887
2000003,09/24/1974,8.2954683111
2000003,09/25/1974,8.2302712703
2000003,09/26/1974,8.1647370763
